name, desc, latitude, longitude,
Ho Chi Minh City, , 10.855962641388238, 106.62930967964424,
Cat Tien National Park, , 11.423351694167797, 107.43098928263738,
Đà Lạt, , 11.938330428097759, 108.44204633433763,
Nha Trang, , 12.256079690891124, 109.17988226780001,
Quy Nhơn, , 13.784955179930321, 109.20779232757783,
Kon Tum, , 14.351393173829512, 107.99831329023957,
Hội An, , 15.880362959822026, 108.3278076623027,
Hué, , 16.465396574464837, 107.58984678492457,
Khe Sanh, , 16.63033682027437, 106.73937593371858,
Phong Nha, , 17.605311267573548, 106.30287586521592,
Ninh Binh, , 20.24993717270064, 105.97476126536924,
Hanoi, , 21.031018144364914, 105.83213145951089,
Mộc Châu, , 20.84539692343169, 104.64639806493973,
Son La, , 21.32599908003501, 103.91233741115373,
Sa Pa, , 22.336810655952362, 103.84337335578856,
Hà Giang, , 22.832444865349657, 104.98593703770463,
Đồng Văn, , 23.277912615255776, 105.36278672106195,
Cao Bằng, , 22.668033588879023, 106.26440926094686,
Ba Bể Lake, ,22.40513956559731, 105.62292292776691,
Hanoi, , 21.031018144364914, 105.83213145951089,
